,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
21,Cedarbrae,43.773136,-79.23947609999999,Popeyes Louisiana Kitchen,43.7759298356196,-79.23532833470263,Fried Chicken Joint
22,Scarborough Village,43.7447342,-79.23947609999999,McCowan Park,43.74508851212816,-79.239335687338,Playground
23,Kennedy Park / Ionview / East Birchmount Park,43.7279292,-79.26202940000002,Giant Tiger,43.72744662939136,-79.26624035854763,Department Store
24,Kennedy Park / Ionview / East Birchmount Park,43.7279292,-79.26202940000002,Tim Hortons,43.72689508691926,-79.26615692675114,Coffee Shop
25,Kennedy Park / Ionview / East Birchmount Park,43.7279292,-79.26202940000002,Dollarama,43.727092,-79.265784,Discount Store
26,Kennedy Park / Ionview / East Birchmount Park,43.7279292,-79.26202940000002,Tandy Leather,43.7269737868054,-79.26651349240451,Hobby Shop
27,Kennedy Park / Ionview / East Birchmount Park,43.7279292,-79.26202940000002,Dollarama,43.72659620252377,-79.26682995710473,Discount Store
28,Kennedy Park / Ionview / East Birchmount Park,43.7279292,-79.26202940000002,Kennedy GO Station,43.73227476873184,-79.26241750386065,Train Station
29,Golden Mile / Clairlea / Oakridge,43.711111700000004,-79.2845772,Dairy Queen,43.71037770465013,-79.29070115089417,Ice Cream Shop
30,Golden Mile / Clairlea / Oakridge,43.711111700000004,-79.2845772,Warden Ave & St. Clair Ave E,43.71205669347002,-79.28100496530533,Intersection
31,Golden Mile / Clairlea / Oakridge,43.711111700000004,-79.2845772,TTC Bus #68 Warden,43.71177810997778,-79.27971412913774,Bus Line
32,Golden Mile / Clairlea / Oakridge,43.711111700000004,-79.2845772,Warden Subway Station,43.71122905571982,-79.27960224480387,Metro Station
33,Golden Mile / Clairlea / Oakridge,43.711111700000004,-79.2845772,Warden Station Bus Loop,43.71124084776515,-79.27957605867647,Bus Station
34,Golden Mile / Clairlea / Oakridge,43.711111700000004,-79.2845772,Bakery On The Go,43.711270905205765,-79.27950587661704,Bakery
35,Golden Mile / Clairlea / Oakridge,43.711111700000004,-79.2845772,Cafe on the go,43.71115104374148,-79.27946923512921,Bakery
36,Golden Mile / Clairlea / Oakridge,43.711111700000004,-79.2845772,Warden Woods Park,43.71052711027375,-79.27896551895955,Park
37,Golden Mile / Clairlea / Oakridge,43.711111700000004,-79.2845772,Clairlea Futbol Centre,43.71523429184505,-79.28650639185544,Soccer Field
38,Cliffside / Cliffcrest / Scarborough Village West,43.716316,-79.23947609999999,Have A Nap Motel,43.718256,-79.240135,Motel
39,Cliffside / Cliffcrest / Scarborough Village West,43.716316,-79.23947609999999,Vincent's Spot,43.71700152544261,-79.24235338465942,American Restaurant
40,Birch Cliff / Cliffside West,43.692657000000004,-79.2648481,The Birchcliff,43.69166644406541,-79.26453158481682,Café
41,Birch Cliff / Cliffside West,43.692657000000004,-79.2648481,Birchmount Community Centre,43.69517507509799,-79.26216087070237,General Entertainment
42,Birch Cliff / Cliffside West,43.692657000000004,-79.2648481,Scarborough Gardens,43.6946465192162,-79.26223031725522,Skating Rink
43,Birch Cliff / Cliffside West,43.692657000000004,-79.2648481,Birchmount Stadium,43.695322867712626,-79.26129341125488,College Stadium
44,Dorset Park / Wexford Heights / Scarborough Town Centre,43.7574096,-79.27330400000001,Kim Kim restaurant,43.75383283792732,-79.27661122245037,Chinese Restaurant
45,Dorset Park / Wexford Heights / Scarborough Town Centre,43.7574096,-79.27330400000001,Kairali,43.754914739291834,-79.27694504646365,Indian Restaurant
46,Dorset Park / Wexford Heights / Scarborough Town Centre,43.7574096,-79.27330400000001,Karaikudi Chettinad South Indian Restaurant,43.756041539453136,-79.27627591942013,Indian Restaurant
47,Dorset Park / Wexford Heights / Scarborough Town Centre,43.7574096,-79.27330400000001,Pho Vietnam,43.757770305647185,-79.27857193068989,Vietnamese Restaurant
48,Dorset Park / Wexford Heights / Scarborough Town Centre,43.7574096,-79.27330400000001,Big Al's Pet Supercentre,43.75927894411595,-79.27832544749343,Pet Store
49,Wexford / Maryvale,43.750071500000004,-79.2958491,Crown Pastries,43.746098,-79.293142,Bakery
50,Wexford / Maryvale,43.750071500000004,-79.2958491,Wexford Restaurant,43.7460300445972,-79.29384330907153,Breakfast Spot
51,Wexford / Maryvale,43.750071500000004,-79.2958491,Subway,43.746267251959516,-79.29319313129918,Sandwich Place
52,Wexford / Maryvale,43.750071500000004,-79.2958491,Lebanese bakery,43.74670137305754,-79.29289639281615,Middle Eastern Restaurant
53,Wexford / Maryvale,43.750071500000004,-79.2958491,Wexford Heights Plaza,43.74613567457937,-79.29378248248864,Shopping Mall
54,Wexford / Maryvale,43.750071500000004,-79.2958491,Scarborough Garage Door Repair,43.75128820404063,-79.30150777101517,Auto Garage
55,Wexford / Maryvale,43.750071500000004,-79.2958491,Sequoia Lounge,43.74564498729392,-79.29573737087405,Middle Eastern Restaurant
56,Agincourt,43.7942003,-79.26202940000002,Panagio's Breakfast & Lunch,43.79237001092506,-79.26020325805978,Breakfast Spot
57,Agincourt,43.7942003,-79.26202940000002,El Pulgarcito,43.792647695283875,-79.25920775335268,Latin American Restaurant
58,Agincourt,43.7942003,-79.26202940000002,Twilight,43.791999483291015,-79.25858447143591,Lounge
59,Agincourt,43.7942003,-79.26202940000002,Commander Arena,43.794867324063404,-79.26798888527924,Skating Rink
60,Clarks Corners / Tam O'Shanter / Sullivan,43.7816375,-79.3043021,Remezzo Italian Bistro,43.778649,-79.308264,Italian Restaurant
61,Clarks Corners / Tam O'Shanter / Sullivan,43.7816375,-79.3043021,The Royal Chinese Restaurant 避風塘小炒,43.78050473445372,-79.29884391314476,Chinese Restaurant
62,Clarks Corners / Tam O'Shanter / Sullivan,43.7816375,-79.3043021,Eight Noodles,43.77823412485005,-79.30829897588661,Noodle House
63,Clarks Corners / Tam O'Shanter / Sullivan,43.7816375,-79.3043021,Kub Khao,43.780437780734204,-79.2998370364667,Thai Restaurant
64,Clarks Corners / Tam O'Shanter / Sullivan,43.7816375,-79.3043021,TD Canada Trust,43.7791686,-79.3036167,Bank
65,Clarks Corners / Tam O'Shanter / Sullivan,43.7816375,-79.3043021,Petro-Canada,43.779337,-79.307682,Gas Station
66,Clarks Corners / Tam O'Shanter / Sullivan,43.7816375,-79.3043021,KFC,43.7804,-79.3007,Fast Food Restaurant
67,Clarks Corners / Tam O'Shanter / Sullivan,43.7816375,-79.3043021,Popeyes Louisiana Kitchen,43.780476,-79.29846,Fried Chicken Joint
68,Clarks Corners / Tam O'Shanter / Sullivan,43.7816375,-79.3043021,Little Caesars Pizza,43.78056271894292,-79.2986242771319,Pizza Place
69,Clarks Corners / Tam O'Shanter / Sullivan,43.7816375,-79.3043021,Enterprise Rent-A-Car,43.77950644323062,-79.30680559697629,Rental Car Location
70,Clarks Corners / Tam O'Shanter / Sullivan,43.7816375,-79.3043021,Warden Ave. & Sheppard Ave. E,43.77850036394506,-79.30767709893647,Intersection
71,Clarks Corners / Tam O'Shanter / Sullivan,43.7816375,-79.3043021,Rexall,43.7809,-79.298764,Pharmacy
72,Clarks Corners / Tam O'Shanter / Sullivan,43.7816375,-79.3043021,Circle K,43.7809377,-79.2986338,Convenience Store
73,Clarks Corners / Tam O'Shanter / Sullivan,43.7816375,-79.3043021,Gusto Pizza,43.78360724036883,-79.29898327417831,Pizza Place
74,Clarks Corners / Tam O'Shanter / Sullivan,43.7816375,-79.3043021,Rexall,43.78073190083844,-79.2982568317862,Pharmacy
75,Milliken / Agincourt North / Steeles East / L'Amoreaux East,43.8152522,-79.2845772,Kids Town,43.81445245104362,-79.28664399337676,Park
76,Milliken / Agincourt North / Steeles East / L'Amoreaux East,43.8152522,-79.2845772,Port Royal Park,43.815477,-79.289773,Park
77,Milliken / Agincourt North / Steeles East / L'Amoreaux East,43.8152522,-79.2845772,Milliken Public School Playground,43.81538282984429,-79.2898673242174,Playground
78,Steeles West / L'Amoreaux West,43.799525200000005,-79.3183887,Mr Congee Chinese Cuisine 龍粥記,43.798878792587615,-79.3183345011537,Chinese Restaurant
79,Steeles West / L'Amoreaux West,43.799525200000005,-79.3183887,Phoenix Restaurant 金鳳餐廳,43.79819775434163,-79.31843152382791,Chinese Restaurant
80,Steeles West / L'Amoreaux West,43.799525200000005,-79.3183887,Price Chopper,43.799444969304986,-79.3185634598668,Grocery Store
81,Steeles West / L'Amoreaux West,43.799525200000005,-79.3183887,Subway,43.79867122318589,-79.31847549171897,Sandwich Place
82,Steeles West / L'Amoreaux West,43.799525200000005,-79.3183887,Shoppers Drug Mart,43.799966,-79.317985,Pharmacy
83,Steeles West / L'Amoreaux West,43.799525200000005,-79.3183887,KFC,43.7989384013184,-79.31885368338149,Fast Food Restaurant
84,Steeles West / L'Amoreaux West,43.799525200000005,-79.3183887,Tim Hortons,43.7991018,-79.3187148,Coffee Shop
85,Steeles West / L'Amoreaux West,43.799525200000005,-79.3183887,Pizza Pizza,43.79790927666095,-79.31811332702635,Pizza Place
86,Steeles West / L'Amoreaux West,43.799525200000005,-79.3183887,Eggsmart,43.796375,-79.318681,Breakfast Spot
87,Steeles West / L'Amoreaux West,43.799525200000005,-79.3183887,McDonald's,43.79824882031983,-79.31816666829309,Fast Food Restaurant
88,Steeles West / L'Amoreaux West,43.799525200000005,-79.3183887,Metro,43.79782980719172,-79.31849151849747,Supermarket
89,Steeles West / L'Amoreaux West,43.799525200000005,-79.3183887,A Buck or Two,43.798286042580465,-79.31848503806829,Thrift / Vintage Store
90,Steeles West / L'Amoreaux West,43.799525200000005,-79.3183887,RBC Royal Bank,43.798235996624136,-79.31795225759826,Bank
91,Steeles West / L'Amoreaux West,43.799525200000005,-79.3183887,Burger Palace,43.79925537080242,-79.3182814571957,Burger Joint
92,Steeles West / L'Amoreaux West,43.799525200000005,-79.3183887,Bridlewood Mall,43.79836628466539,-79.31846302934676,Shopping Mall
93,Hillcrest Village,43.8037622,-79.3634517,Eagle's Nest Golf Club,43.805454826002794,-79.36418592243415,Golf Course
94,Hillcrest Village,43.8037622,-79.3634517,AY Jackson Pool,43.804515413699576,-79.36613821581467,Pool
95,Hillcrest Village,43.8037622,-79.3634517,Villa Madina,43.80168506227364,-79.36393844569061,Mediterranean Restaurant
96,Hillcrest Village,43.8037622,-79.3634517,Duncan Creek Park,43.80553928816196,-79.36069456944033,Dog Run
97,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,The LEGO Store,43.77820727238842,-79.34348299621146,Toy / Game Store
98,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Michel's Baguette,43.77708227220403,-79.34455653003414,Bakery
99,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,CF Fairview Mall,43.777993908591895,-79.34366510981064,Shopping Mall
100,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,DAVIDsTEA,43.77759332519533,-79.34508888051846,Tea Room
101,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Hero Certified Burgers,43.7772948385197,-79.34458372068603,Burger Joint
102,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Moxie's Classic Grill,43.777778810576905,-79.34318499889385,American Restaurant
103,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,SilverCity,43.77868093228815,-79.3440850072426,Movie Theater
104,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Apple Fairview,43.7779146,-79.343561,Electronics Store
105,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,De Berardini's,43.77806925637981,-79.34264197549473,Salon / Barbershop
106,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Purdys Chocolatier,43.77816,-79.344154,Chocolate Shop
107,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Hudson's Bay,43.777830351654046,-79.34304327486974,Department Store
108,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,New York Fries - Fairview Mall,43.77860499015611,-79.34357713182652,Restaurant
109,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,H&M,43.77754859086118,-79.34560423018411,Clothing Store
110,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Shoppers Drug Mart,43.77817,-79.345014,Pharmacy
111,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Aroma Espresso Bar,43.777700197902725,-79.34465166972005,Coffee Shop
112,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Ten Ren's Tea Time,43.777158444629066,-79.34453087278449,Juice Bar
113,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Starbucks,43.77799,-79.344091,Coffee Shop
114,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Old Navy,43.7779901,-79.3440914,Clothing Store
115,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Fairview Library Theatre,43.779018057023805,-79.34652599431665,Theater
116,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,TD Canada Trust,43.777763,-79.345974,Bank
117,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,J.Crew,43.7779417,-79.3451178,Clothing Store
118,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Fairview Mall Food Garden,43.77836930887007,-79.34321606591291,Food Court
119,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,LCBO,43.77895496200283,-79.34504796258686,Liquor Store
120,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Heart Sushi,43.777203,-79.343805,Japanese Restaurant
121,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Hollister Co.,43.778088689883695,-79.34370423838938,Clothing Store
122,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Thai Express,43.77799,-79.344091,Restaurant
123,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Tim Hortons,43.777964,-79.344715,Coffee Shop
124,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Zara,43.777961241763556,-79.34469070057258,Clothing Store
125,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Tommy Hilfiger,43.77742747193735,-79.34589327979445,Clothing Store
126,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,EB Games,43.7781866230844,-79.3433096596408,Video Game Store
127,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Tim Hortons,43.7749925,-79.3463027,Coffee Shop
128,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,KFC,43.7776,-79.3442,Fast Food Restaurant
129,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Bourbon St. Grill,43.77827649168577,-79.34324149162853,Fast Food Restaurant
130,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Tim Hortons,43.77524918178477,-79.34773966670036,Coffee Shop
131,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,McDonald's,43.7784074,-79.3435742,Fast Food Restaurant
132,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,St. Louis Bar & Grill,43.77721460733997,-79.34508093497027,Bar
133,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,SportChek,43.777760996766865,-79.34315772052062,Sporting Goods Shop
134,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Spring Rolls,43.777350695180374,-79.34397727347279,Asian Restaurant
135,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,SEPHORA,43.778366,-79.3437003,Cosmetics Shop
136,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Z•teca,43.777216678163484,-79.3444011179068,Burrito Place
137,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Druxy's,43.77878702526164,-79.34444702976553,Deli / Bodega
138,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Garage Clothing,43.77695171853015,-79.34700906250485,Clothing Store
139,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Showcase,43.77877182143177,-79.34431968978073,Gift Shop
140,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Teaopia,43.77874324350523,-79.34451221242404,Tea Room
141,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Real Fruit Bubble Tea,43.777753,-79.344972,Bubble Tea Shop
142,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Yogen Früz,43.77750779331186,-79.34579440302001,Frozen Yogurt Shop
143,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,BCBG Max Azria,43.77696607091188,-79.34701924857568,Boutique
144,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Champs,43.777827,-79.3453368,Sporting Goods Shop
145,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Roots Fairview Mall,43.7777833171117,-79.34449017047882,Clothing Store
146,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,GNC,43.77843789497575,-79.344162940979,Supplement Shop
147,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Ardene,43.77688620262047,-79.34717998514216,Women's Store
148,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Gateway Newstand (Fairview),43.77837592341407,-79.34480667114258,Convenience Store
149,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,GUESS,43.777779443848566,-79.34449553489685,Clothing Store
150,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,RBC Royal Bank,43.777303882018465,-79.3446527392512,Bank
151,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Dynamite,43.77812931492771,-79.34362321088628,Women's Store
152,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Bentley,43.77824084141985,-79.34353859382264,Luggage Store
153,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Grill It Up,43.77826768921672,-79.34330442089535,Food Court
154,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Laura Secord,43.7782285533859,-79.34321768453563,Dessert Shop
155,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Teriyaki Experience,43.77832992258357,-79.34310953832035,Japanese Restaurant
156,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Yoi,43.778244,-79.34301,Japanese Restaurant
157,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Don Mills Station Bus Terminal,43.77592896385145,-79.3469536135742,Bus Station
158,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Best Buy Mobile,43.7777372,-79.3429426,Electronics Store
159,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Forever XXI,43.778289762312255,-79.34330244159452,Clothing Store
160,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Fit For Life,43.77935234078756,-79.35056822110249,Fast Food Restaurant
161,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Circle K,43.7754422,-79.3478394,Convenience Store
162,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Oriole Park,43.78081676843454,-79.35132725701995,Baseball Field
163,Fairview / Henry Farm / Oriole,43.7785175,-79.3465557,Michel's Baguette,43.77432584600824,-79.34668494032192,Bakery
164,Bayview Village,43.7869473,-79.385975,Sun Star Chinese Cuisine 翠景小炒,43.78791448422642,-79.38123404311649,Chinese Restaurant
165,Bayview Village,43.7869473,-79.385975,TD Canada Trust,43.7880740139986,-79.38036672770977,Bank
166,Bayview Village,43.7869473,-79.385975,Maxim's Cafe and Patisserie,43.78786337669778,-79.38075094208715,Café
167,Bayview Village,43.7869473,-79.385975,Kaga Sushi,43.78775840092113,-79.38108976991016,Japanese Restaurant
168,York Mills / Silver Hills,43.7574902,-79.37471409999999,Windfields Cafeteria,43.755862,-79.370649,Cafeteria
169,York Mills / Silver Hills,43.7574902,-79.37471409999999,Vyner Greenbelt,43.759642075349106,-79.36959028244019,Park
170,Willowdale,43.7701199,-79.40849279999999,Loblaws,43.768722,-79.412101,Grocery Store
171,Willowdale,43.7701199,-79.40849279999999,Konjiki Ramen,43.76699771023422,-79.41222209328754,Ramen Restaurant
172,Willowdale,43.7701199,-79.40849279999999,The Keg,43.7665789176648,-79.41213141222555,Steakhouse
173,Willowdale,43.7701199,-79.40849279999999,Starbucks,43.768353,-79.413046,Coffee Shop
174,Willowdale,43.7701199,-79.40849279999999,Aroma Espresso Bar,43.76944882099181,-79.41308107735675,Café
175,Willowdale,43.7701199,-79.40849279999999,Cineplex Cinemas,43.76862539839479,-79.41261307104753,Movie Theater
176,Willowdale,43.7701199,-79.40849279999999,Wako Sushi + Bar,43.77080606720809,-79.41313811956255,Japanese Restaurant
177,Willowdale,43.7701199,-79.40849279999999,Satay Sate,43.76669,-79.4121,Indonesian Restaurant
178,Willowdale,43.7701199,-79.40849279999999,Saryo,43.76697902009232,-79.41220491675689,Café
179,Willowdale,43.7701199,-79.40849279999999,Mel Lastman Square,43.76770145783431,-79.41297541544051,Plaza
180,Willowdale,43.7701199,-79.40849279999999,Dairy Queen,43.76701557770687,-79.4120009150447,Ice Cream Shop
181,Willowdale,43.7701199,-79.40849279999999,Empress Walk,43.768540252857974,-79.4126707082784,Shopping Mall
182,Willowdale,43.7701199,-79.40849279999999,Michaels,43.76724487394571,-79.41197372883607,Arts & Crafts Store
183,Willowdale,43.7701199,-79.40849279999999,Booster Juice,43.76889,-79.4129899,Juice Bar
184,Willowdale,43.7701199,-79.40849279999999,PetSmart,43.769139,-79.412522,Pet Store
185,Willowdale,43.7701199,-79.40849279999999,Starbucks,43.768464,-79.414017,Coffee Shop
186,Willowdale,43.7701199,-79.40849279999999,Aura,43.766012799364795,-79.41081286441447,Lounge
187,Willowdale,43.7701199,-79.40849279999999,Symposium Cafe Restaurant & Lounge,43.77107544003332,-79.41339624610163,Restaurant
188,Willowdale,43.7701199,-79.40849279999999,Subway,43.768507,-79.41398454232785,Sandwich Place
189,Willowdale,43.7701199,-79.40849279999999,Wendy’s,43.76846127243853,-79.4123771060805,Fast Food Restaurant
190,Willowdale,43.7701199,-79.40849279999999,KINTON RAMEN,43.76968375926793,-79.41304877291766,Ramen Restaurant
191,Willowdale,43.7701199,-79.40849279999999,Aburi Room,43.769197,-79.414039,Sushi Restaurant
192,Willowdale,43.7701199,-79.40849279999999,Best Buy,43.76811518063931,-79.4126082683499,Electronics Store
193,Willowdale,43.7701199,-79.40849279999999,Dollarama,43.768722,-79.412101,Discount Store
194,Willowdale,43.7701199,-79.40849279999999,Boston Pizza,43.76966566980136,-79.41305666054794,Pizza Place
195,Willowdale,43.7701199,-79.40849279999999,Pho 88 Vietnamese Cuisine,43.77045596393368,-79.41306424537943,Vietnamese Restaurant
196,Willowdale,43.7701199,-79.40849279999999,Shawarma Max,43.76601170897119,-79.41084443679077,Middle Eastern Restaurant
197,Willowdale,43.7701199,-79.40849279999999,Ajisen Ramen 味千ラーメン,43.771444,-79.413139,Ramen Restaurant
198,Willowdale,43.7701199,-79.40849279999999,Subway,43.77140090446779,-79.41345717293876,Sandwich Place
199,Willowdale,43.7701199,-79.40849279999999,Ten Ren's Tea Time 喫茶新饌,43.769574852327395,-79.41259669370922,Bubble Tea Shop
200,Willowdale,43.7701199,-79.40849279999999,Freshslice Pizza,43.771353408025305,-79.4134865956423,Pizza Place
201,Willowdale,43.7701199,-79.40849279999999,Novotel Toronto North York,43.76872304736466,-79.41425730725825,Hotel
202,Willowdale,43.7701199,-79.40849279999999,PROJECT:FISH,43.7691,-79.414305,Sushi Restaurant
203,Willowdale,43.7701199,-79.40849279999999,Trio Restaurant,43.769057691735014,-79.41437684224671,Restaurant
204,York Mills West,43.752758299999996,-79.4000493,TD Canada Trust,43.7509235,-79.4010039,Bank
205,York Mills West,43.752758299999996,-79.4000493,Kitchen Food Fair,43.751297901387304,-79.40139340223642,Convenience Store
206,York Mills West,43.752758299999996,-79.4000493,Tournament Park,43.75125720420175,-79.39971685409546,Park
207,York Mills West,43.752758299999996,-79.4000493,Jays Pub,43.752142,-79.405016,Bar
208,Willowdale,43.7827364,-79.4422593,Tov-Li,43.78421369713337,-79.44609771646198,Pizza Place
209,Willowdale,43.7827364,-79.4422593,Shoppers Drug Mart,43.784847,-79.446028,Pharmacy
210,Willowdale,43.7827364,-79.4422593,Tim Hortons,43.7809395,-79.4442308,Coffee Shop
211,Willowdale,43.7827364,-79.4422593,Price Chopper,43.783237418498096,-79.44633923214607,Grocery Store
212,Willowdale,43.7827364,-79.4422593,Hartman's,43.78431215202778,-79.44621271750725,Butcher
213,Willowdale,43.7827364,-79.4422593,RBC Royal Bank,43.78389412052616,-79.44660281892959,Bank
214,Parkwoods,43.7532586,-79.3296565,Brookbanks Park,43.751976046055574,-79.33214044722958,Park
215,Parkwoods,43.7532586,-79.3296565,GTA Restoration,43.753396155415686,-79.33347702026367,Fireworks Store
216,Parkwoods,43.7532586,-79.3296565,Variety Store,43.75197441585782,-79.33311418516017,Food & Drink Shop
217,Don Mills,43.745905799999996,-79.352188,LA Fitness,43.74766522888878,-79.34707696065234,Gym / Fitness Center
218,Don Mills,43.745905799999996,-79.352188,Island Foods,43.745866073988985,-79.34603533317939,Caribbean Restaurant
219,Don Mills,43.745905799999996,-79.352188,Baretto Caffé,43.74445646349851,-79.34645978471785,Café
220,Don Mills,43.745905799999996,-79.352188,Gonoe Sushi,43.74573681959921,-79.34599119916211,Japanese Restaurant
221,Don Mills,43.745905799999996,-79.352188,Bond Park,43.74537356928136,-79.35124509707558,Baseball Field
222,Don Mills,43.745905799999996,-79.352188,Elite Basketball Camps,43.748789728,-79.35422793,Athletics & Sports
